C0,C1,C2,C3
01-Jan-2012 00:20:00,16.36154,16.05883,15.56104
01-Jan-2012 00:30:00,15.02857,14.74678,14.20458
01-Jan-2012 00:40:00,15.23387,14.96035,14.54317
01-Jan-2012 00:50:00,15.21597,14.94248,14.37914
01-Jan-2012 01:00:00,15.18545,14.8983,14.51247
01-Jan-2012 01:10:00,13.35128,13.1243,12.44711
01-Jan-2012 01:20:00,14.93694,14.66156,14.04903
01-Jan-2012 01:30:00,16.60163,16.30713,15.71869
01-Jan-2012 01:40:00,15.79719,15.50222,14.96852
01-Jan-2012 01:50:00,14.86114,14.57842,13.94956
01-Jan-2012 02:00:00,14.53792,14.25329,13.94745
01-Jan-2012 02:10:00,11.60765,11.3872,10.96686
01-Jan-2012 02:20:00,10.978,10.75276,10.16271
01-Jan-2012 02:30:00,11.19279,10.97264,10.51717
01-Jan-2012 02:40:00,15.05488,14.74151,14.18977
01-Jan-2012 02:50:00,15.64346,15.36335,14.68284
01-Jan-2012 03:00:00,16.31521,15.99359,15.39915
01-Jan-2012 03:10:00,16.36788,16.05882,15.67531
01-Jan-2012 03:20:00,15.9467,15.64217,15.27006
01-Jan-2012 03:30:00,12.67743,12.42673,12.01751
01-Jan-2012 03:40:00,11.83403,11.60707,11.09277
01-Jan-2012 03:50:00,15.21912,14.94774,14.40881
01-Jan-2012 04:00:00,15.11489,14.84884,14.38127
01-Jan-2012 04:10:00,15.44344,15.16553,14.6532
01-Jan-2012 04:20:00,14.96222,14.67522,14.25642
01-Jan-2012 04:30:00,14.85062,14.55843,14.05326
01-Jan-2012 04:40:00,12.70795,12.44247,11.82707
01-Jan-2012 04:50:00,11.92037,11.66814,11.07689
01-Jan-2012 05:00:00,10.07563,9.927871,9.581837
01-Jan-2012 05:10:00,11.1128,11.23252,10.73828
01-Jan-2012 05:20:00,11.75191,11.53869,11.00811
01-Jan-2012 05:30:00,11.94565,11.7481,11.01764
01-Jan-2012 05:40:00,13.07964,12.81391,12.14977
01-Jan-2012 05:50:00,13.51553,13.27057,12.69575
01-Jan-2012 06:00:00,12.12991,11.88488,11.50647
01-Jan-2012 06:10:00,11.83719,11.65548,11.12239
01-Jan-2012 06:20:00,12.9533,12.75604,12.14449
01-Jan-2012 06:30:00,12.87221,12.67396,12.2429
01-Jan-2012 06:40:00,13.83034,13.60937,13.09253
01-Jan-2012 06:50:00,13.83352,13.55251,13.05869
01-Jan-2012 07:00:00,13.54503,13.24422,12.68412
01-Jan-2012 07:10:00,13.11752,12.88756,12.26194
01-Jan-2012 07:20:00,13.35443,13.34524,12.76455
01-Jan-2012 07:30:00,13.14702,12.94436,12.35929
01-Jan-2012 07:40:00,11.82456,11.61236,11.05466
01-Jan-2012 07:50:00,11.48236,11.22303,10.6473
01-Jan-2012 08:00:00,9.967182,9.780559,9.433706
01-Jan-2012 08:10:00,11.07066,10.87687,10.60286
01-Jan-2012 08:20:00,11.65188,11.46299,11.23348
01-Jan-2012 08:30:00,12.77639,12.5698,12.35081
01-Jan-2012 08:40:00,12.60477,12.34151,12.03762
01-Jan-2012 08:50:00,12.56581,12.31413,11.79321
01-Jan-2012 09:00:00,11.29809,11.08626,10.76158
01-Jan-2012 09:10:00,11.91404,11.67759,11.28535
01-Jan-2012 09:20:00,12.49842,12.24887,11.91066
01-Jan-2012 09:30:00,10.51787,10.33297,9.927824
01-Jan-2012 09:40:00,10.938,10.69383,10.22724
01-Jan-2012 09:50:00,13.6977,13.4168,12.90949
01-Jan-2012 10:00:00,12.53422,12.2836,11.86833
01-Jan-2012 10:10:00,11.40654,11.202,10.74572
01-Jan-2012 10:20:00,12.76061,12.52246,12.1064
01-Jan-2012 10:30:00,12.72058,12.48143,12.01435
01-Jan-2012 10:40:00,12.85853,12.60875,12.18999
01-Jan-2012 10:50:00,12.59318,12.36673,11.88844
01-Jan-2012 11:00:00,12.7427,12.48878,11.94558
01-Jan-2012 11:10:00,12.92485,12.66976,12.29157
01-Jan-2012 11:20:00,13.85036,13.56307,13.03541
01-Jan-2012 11:30:00,11.95196,11.7344,11.39326
01-Jan-2012 11:40:00,11.37601,11.15049,10.65789
01-Jan-2012 11:50:00,12.41419,12.18154,11.73608
